Gender,Length,Diameter,Height,Weight,Rings
F,0.505,0.385,0.135,0.6185,12
F,0.65,0.475,0.165,1.3875,9
I,0.52,0.38,0.135,0.5395,8
F,0.55,0.425,0.14,0.952,7
M,0.64,0.525,0.18,1.3135,10
I,0.52,0.38,0.125,0.5545,8
I,0.5,0.375,0.125,0.5695,7
F,0.525,0.39,0.135,0.6005,16
I,0.43,0.34,0.105,0.4405,6
I,0.375,0.265,0.095,0.196,5
F,0.585,0.455,0.13,0.8755,8
M,0.4,0.31,0.11,0.314,11
M,0.46,0.36,0.125,0.547,8
M,0.635,0.515,0.17,1.275,16
F,0.66,0.53,0.185,1.346,11
F,0.29,0.225,0.075,0.14,5
M,0.54,0.42,0.155,0.7385,12
M,0.59,0.435,0.165,0.9765,9
M,0.345,0.255,0.09,0.2005,9
I,0.43,0.32,0.1,0.3855,7
I,0.48,0.35,,0.519,7
I,0.415,0.325,0.115,0.3285,12
M,0.465,0.36,0.11,0.4955,7
I,0.51,0.375,0.15,0.8415,10
M,0.6,0.41,0.145,0.939,8
I,0.5,0.38,0.155,0.6675,12
M,0.64,0.51,0.17,1.3715,10
F,0.58,0.475,0.165,1.0385,13
F,0.52,0.405,0.12,0.627,11
F,0.55,0.44,0.135,0.8435,8
M,0.635,0.525,0.205,1.484,20
M,0.625,0.49,0.175,1.3325,10
F,0.565,0.45,0.185,0.9285,12
M,0.665,0.515,0.165,1.3855,8
I,0.38,0.29,0.085,0.2285,7
I,0.4,0.3,0.11,0.2985,6
M,0.49,0.385,0.125,0.649,8
M,0.55,0.405,0.14,0.8025,1500
I,0.45,0.33,0.1,0.411,6
M,0.715,0.55,0.175,1.825,11
I,0.35,0.26,0.095,0.221,8
M,0.505,0.405,0.11,0.625,9
F,0.57,0.435,0.14,0.8085,16
F,0.63,0.475,0.155,1.0005,10
I,0.615,0.49,0.155,0.9885,13
M,0.65,0.515,0.18,1.3315,13
I,0.55,0.425,0.135,0.7305,9
F,0.57,0.44,0.125,0.865,12
I,0.55,0.4,0.135,0.717,9
M,0.675,0.505,0.16,1.532,11
M,0.63,0.5,0.185,1.362,10
F,0.605,0.475,0.145,1.0185,15
M,0.675,0.525,0.16,1.2835,13
I,0.55,0.425,0.145,0.89,10
F,0.62,0.51,0.205,1.3475,14
F,0.56,0.46,0.18,0.97,12
F,0.61,0.475,0.16,1.1155,10
I,0.52,0.41,0.14,0.6625,11
M,0.43,0.31,0.13,0.6485,9
M,0.625,0.48,,1.1415,9
M,0.63,0.485,0.175,1.3,23
F,0.54,0.42,0.145,0.8655,10
I,0.49,0.385,0.115,0.683,13
I,0.43,0.33,0.1,0.449,6
F,0.65,0.525,0.165,1.238,9
I,0.4,0.315,0.085,0.2675,6
F,0.57,0.445,0.155,1.017,10
F,0.595,0.465,0.145,0.7955,10
F,0.52,0.375,0.135,0.5375,8
F,0.67,0.515,0.17,1.4265,11
I,0.335,0.245,0.09,0.2015,7
M,0.36,0.27,0.1,0.217,6
M,0.595,0.475,0.17,1.0965,17
M,0.47,0.375,0.13,0.523,8
M,0.625,0.495,0.185,1.3835,11
I,0.5,0.395,0.14,0.6215,9
I,0.31,0.235,0.09,0.127,6
F,0.585,0.475,0.185,0.8575,12
M,0.695,0.515,0.175,1.5165,15
F,0.49,0.39,0.135,0.5785,13
I,0.405,0.3,0.12,0.324,7
F,0.57,0.45,0.165,0.903,14
F,0.58,0.46,0.15,0.9955,19
I,0.53,0.42,0.14,0.6765,9
F,0.725,0.56,0.21,2.141,18
I,0.35,0.26,0.095,0.211,7
M,0.69,0.525,0.2,1.7825,12
M,0.595,0.47,0.165,1.108,9
M,0.585,0.45,0.18,0.7995,8
I,0.29,0.225,0.075,0.152,9
I,0.635,0.48,0.2,1.3655,16
I,0.475,0.35,0.115,0.498,7
M,0.43,0.345,0.115,0.3045,11
M,0.565,0.425,0.1,0.7145,12
F,0.695,0.55,0.16,1.6365,13
F,0.65,0.505,0.165,1.357,11
M,0.48,0.375,0.115,0.6765,6
M,0.685,0.545,0.205,1.7925,9
I,0.435,0.33,0.11,0.413,6
F,0.665,0.53,0.185,1.3955,15
F,0.555,0.455,0.18,0.958,14
I,0.465,0.375,0.12,0.471,9
I,0.595,0.43,0.165,0.9845,8
I,0.41,0.315,0.1,0.3,8
I,0.135,0.13,0.04,0.029,4
F,0.645,0.5,0.18,1.2785,13
F,0.375,0.29,0.115,0.2705,10
F,0.56,0.42,0.18,1.6645,9
F,0.71,0.5,0.15,1.3165,10
M,0.62,0.5,0.2,1.221,12
F,0.63,0.51,0.185,1.235,11
I,0.245,0.205,0.06,0.0765,4
I,0.535,0.42,0.145,0.6885,9
M,0.635,0.485,0.18,1.1795,10
I,0.235,0.17,0.065,0.0625,6
I,0.4,0.295,0.095,0.252,6
I,0.28,0.21,0.085,0.1065,4
F,0.655,0.51,0.175,1.415,10
M,0.535,0.44,0.165,0.875,10
F,0.635,0.495,0.175,1.211,9
F,0.6,0.47,0.19,1.1345,10
M,0.66,0.53,0.17,1.3905,15
F,0.5,0.405,0.14,0.6735,18
I,0.62,0.475,0.16,0.907,11
I,0.525,0.385,0.13,0.607,8
F,0.625,0.485,,1.362,10
M,0.485,0.41,0.15,0.696,13
F,0.64,0.485,0.145,1.1335,11
I,0.46,0.34,0.1,0.386,8
M,0.435,0.335,0.11,0.4385,7
F,0.57,0.445,0.155,0.733,14
I,0.52,0.38,0.14,0.525,11
I,0.475,0.365,0.105,0.4175,7
M,0.585,0.49,0.185,1.171,10
M,0.465,0.36,0.115,0.5795,7
I,0.505,0.395,0.105,0.551,8
I,0.53,0.395,0.115,0.475,8
M,0.56,0.465,0.145,0.8875,9
I,0.26,0.205,0.07,0.097,4
F,0.655,0.54,0.175,1.5585,11
M,0.69,0.55,0.18,1.6915,11
F,0.36,0.265,0.09,0.2165,10
M,0.355,0.265,0.09,0.168,8
I,0.41,0.3,0.1,0.282,7
M,0.56,0.42,0.195,0.8085,14
M,0.58,0.46,0.18,1.145,11
F,0.55,0.43,0.15,0.84,8
M,0.475,0.385,0.12,0.562,8
M,0.65,0.495,0.17,1.276,11
M,0.62,0.47,0.145,1.0865,10
F,0.555,0.44,0.155,1.016,10
I,0.395,0.29,0.095,0.3,7
I,0.32,0.255,0.1,0.1755,7
M,0.65,0.505,0.17,1.5595,11
M,0.65,0.485,0.14,1.175,8
I,0.505,0.355,0.125,0.601,8
F,0.62,0.48,0.16,1.1125,8
M,0.605,0.475,0.175,1.2525,9
M,0.625,0.485,0.17,1.437,11
F,0.65,0.545,0.175,1.5245,10
M,0.72,0.585,0.22,1.914,11
M,0.53,0.4,0.125,0.7575,8
I,0.275,0.205,0.08,0.096,6
F,0.73,0.55,0.205,1.908,14
F,0.425,0.325,0.135,0.382,12
I,0.315,0.24,0.085,0.1715,7
I,0.29,0.21,0.06,0.1195,6
I,0.395,0.3,,0.2855,5
F,0.59,0.455,0.145,1.063,8
M,0.48,0.37,0.13,0.643,8
F,0.625,0.5,0.15,0.953,15
M,0.46,0.345,0.11,0.4595,7
I,0.45,0.35,0.135,0.494,7
I,0.55,0.425,0.15,0.639,9
I,0.305,0.23,0.075,0.1455,6
F,0.645,0.505,0.165,1.318,11
M,0.58,0.445,0.16,0.984,9
M,0.725,0.57,0.19,2.3305,9
F,0.545,0.41,0.14,0.7405,9
M,0.475,0.355,0.12,0.48,8
I,0.565,0.43,0.15,0.8215,11
F,0.595,0.485,0.145,1.2515,14
I,0.59,0.47,0.145,0.974,8
F,0.525,0.415,0.15,0.7055,10
M,0.645,0.5,0.16,1.3815,9
I,0.535,0.45,0.17,0.781,11
